"Costeo","Nombre","Cliente","Estado","Nombre del Comercial","Margen Ponderado","Creado en","Acciones","Id."
"COS-0012698","CAMISA GUAYABERA BLANCA","G4S","Generada Cotización","Pilar Gómez",20.0,"03/03/2026 10:34","Duplicar Costeo","81066181"
"COS-0012697","Go Beyond DDP Panamá (PA)","Molt Panamá (PA)","Generada Cotización","Simón Román",17.5,"03/03/2026 10:06","Duplicar Costeo","81065120"
"COS-0012696","Go Beyond (PA)","Molt Panamá (PA)","Generada Cotización","Simón Román",17.5,"03/03/2026 9:54","Duplicar Costeo","81064629"
"COS-0012695","BLUSA DAMA LEGAL BEER STATION  Marzo  2026","NUTRESA","Aprobado","Luis Guzman",18.7,"03/03/2026 8:40","Generar Cotización","81059660"
"COS-0012694","UNIFORME  JEFE DE ENFERMERIA MARZO  2026","Clínica  Palermo","Generada Cotización","Xiomara Aranda Perea",23.95,"03/03/2026 8:33","Duplicar Costeo","81059073"
"COS-0012693","PANTALON NEGRO TACTICO 2026","G4S","Generada Cotización","Pilar Gómez",20.0,"02/03/2026 17:47","Duplicar Costeo","81014693"
"COS-0012692","PEDIDO TIENDA BANREP 2026","BANCO DE LA REPUBLICA - NIT 860.005.216-7","Generada Cotización","Frank Sanchez",42.33,"02/03/2026 16:09","Duplicar Costeo","81011416"
"COS-0012691","PEDIDO TIENDA BANREP 2026","BANCO DE LA REPUBLICA - NIT 860.005.216-7","Generada Cotización","Frank Sanchez",42.33,"02/03/2026 13:08","Duplicar Costeo","80999174"
"COS-0012690","Polos Colimpia (PA)","Molt Panamá (PA)","Generada Cotización","Simón Román",23.08,"02/03/2026 12:40","Duplicar Costeo","80997262"
"COS-0012689","GORRA  NEGRA  BEER  STATION NUEVA  TELA MARZO 2026","NUTRESA","Generada Cotización","Xiomara Aranda Perea",35.48,"02/03/2026 12:09","Duplicar Costeo","80977999"
"COS-0012688","DOTACION OPERATIVA PDVSA MARZO 2026","MAXIALIMENTOS","Creado","Xiomara Aranda Perea",23.08,"02/03/2026 11:30","Solicitar Revisión / Aprobado","80976485"
"COS-0012687","Jeans Fastenal - Super 99 (PA)","Molt Panamá (PA)","Generada Cotización","Simón Román",18.03,"02/03/2026 10:07","Duplicar Costeo","80966828"
"COS-0012686","Jeans Fastenal - Super 99 (PA)","Molt Panamá (PA)","Creado","Simón Román",18.03,"02/03/2026 10:03","Solicitar Revisión / Aprobado","80966778"
"COS-0012685","Muestra Antifluido Verde  Aecsa Marzo 2026","AECSA","Generada Cotización","Xiomara Aranda Perea",20.0,"02/03/2026 9:12","Duplicar Costeo","80964140"
"COS-0012684","Dotación Uniformes    Emermédica  Marzo  2026","EMERMEDICA","Generada Cotización","Xiomara Aranda Perea",20.0,"02/03/2026 8:25","Duplicar Costeo","80961036"
"COS-0012683","Chaqueta Laminada Zeuss R&R  Marzo  2026","MAXIALIMENTOS","Generada Cotización","Xiomara Aranda Perea",20.0,"02/03/2026 8:12","Duplicar Costeo","80959751"
